0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
-2.96,-1.72,-0.31,-0.07,0.08,0.22,0.30,0.33,0.35,0.37,0.39,0.42,0.44,0.47,0.50,0.53,0.56,0.60,0.65
-2.60,-2.32,-0.21,-0.16,-0.08,-0.04,0.00,0.06,0.13,0.22,0.32,0.42,0.49,0.57,0.65,0.72,0.79,0.86,0.89
-1.77,-1.18,-1.11,-0.98,-0.83,-0.70,-0.55,-0.40,-0.21,0.01,0.24,0.44,0.59,0.76,0.91,1.04,1.19,1.35,1.43
-1.24,-1.21,-1.14,-1.01,-0.91,-0.80,-0.68,-0.51,-0.33,-0.09,0.11,0.28,0.42,0.59,0.77,0.95,1.22,1.58,1.78
-1.21,-1.11,-1.06,-0.97,-0.87,-0.78,-0.67,-0.53,-0.37,-0.19,-0.00,0.16,0.31,0.48,0.66,0.84,1.18,1.68,1.95
-1.21,-1.03,-0.93,-0.85,-0.76,-0.66,-0.57,-0.48,-0.37,-0.27,-0.16,-0.02,0.13,0.31,0.52,0.79,1.27,1.72,2.07
-1.33,-1.08,-0.89,-0.78,-0.69,-0.60,-0.51,-0.43,-0.34,-0.24,-0.13,-0.02,0.09,0.24,0.48,0.84,1.35,1.70,1.99
-1.41,-1.14,-0.91,-0.78,-0.68,-0.59,-0.49,-0.41,-0.32,-0.22,-0.11,0.00,0.12,0.27,0.51,0.92,1.39,1.67,1.91
-1.45,-1.19,-0.94,-0.79,-0.68,-0.58,-0.49,-0.40,-0.31,-0.20,-0.10,0.02,0.14,0.29,0.57,0.97,1.40,1.64,1.87
-1.46,-1.22,-0.97,-0.81,-0.67,-0.58,-0.48,-0.39,-0.30,-0.20,-0.08,0.03,0.15,0.32,0.65,0.99,1.39,1.63,1.84
-1.47,-1.25,-1.00,-0.82,-0.68,-0.58,-0.48,-0.39,-0.29,-0.18,-0.07,0.04,0.17,0.35,0.69,1.00,1.38,1.61,1.82
-1.47,-1.26,-1.02,-0.84,-0.68,-0.58,-0.49,-0.39,-0.28,-0.17,-0.06,0.05,0.19,0.36,0.71,1.01,1.37,1.59,1.80
-1.47,-1.27,-1.04,-0.86,-0.69,-0.58,-0.49,-0.38,-0.28,-0.16,-0.05,0.07,0.20,0.38,0.72,1.03,1.37,1.58,1.78
-1.47,-1.28,-1.06,-0.88,-0.70,-0.58,-0.48,-0.38,-0.27,-0.15,-0.04,0.08,0.22,0.39,0.73,1.04,1.36,1.57,1.77
-1.47,-1.28,-1.08,-0.89,-0.71,-0.59,-0.49,-0.38,-0.27,-0.14,-0.03,0.09,0.23,0.41,0.74,1.05,1.35,1.56,1.75
-1.47,-1.29,-1.10,-0.90,-0.72,-0.59,-0.49,-0.38,-0.26,-0.14,-0.02,0.10,0.24,0.42,0.74,1.06,1.35,1.55,1.74
-1.47,-1.29,-1.11,-0.91,-0.73,-0.59,-0.48,-0.38,-0.26,-0.13,-0.01,0.11,0.25,0.43,0.75,1.06,1.35,1.55,1.73
-1.47,-1.28,-1.12,-0.92,-0.74,-0.60,-0.48,-0.38,-0.26,-0.13,-0.01,0.12,0.25,0.43,0.77,1.07,1.34,1.54,1.73
-1.47,-1.28,-1.12,-0.93,-0.75,-0.60,-0.48,-0.37,-0.26,-0.13,-0.01,0.13,0.26,0.44,0.78,1.08,1.34,1.53,1.72
-1.47,-1.28,-1.13,-0.94,-0.76,-0.61,-0.48,-0.37,-0.26,-0.13,-0.00,0.13,0.27,0.45,0.78,1.08,1.34,1.53,1.71
-1.47,-1.29,-1.13,-0.95,-0.76,-0.61,-0.49,-0.37,-0.25,-0.13,0.00,0.14,0.27,0.45,0.79,1.09,1.34,1.53,1.71
